tic,eligible_non_toi_ctoi_rank,batch_offset,batch_count
391039604,1,0,80
79611981,2,0,80
274127413,3,0,80
190138951,4,0,80
289113766,5,0,80
452882423,6,0,80
219223742,7,0,80
454682563,8,0,80
316627328,9,0,80
103245015,10,0,80
406857100,11,0,80
390531051,12,0,80
445064836,13,0,80
192642951,14,0,80
273369281,15,0,80
176935123,16,0,80
63781635,17,0,80
405503787,18,0,80
381983159,19,0,80
420130591,20,0,80
31381302,21,0,80
340009136,22,0,80
233068870,23,0,80
407688400,24,0,80
370955883,25,0,80
417153632,26,0,80
123480394,27,0,80
175516858,28,0,80
428681517,29,0,80
389051009,30,0,80
357187278,31,0,80
35025268,32,0,80
57984826,33,0,80
449046160,34,0,80
252110114,35,0,80
22535327,36,0,80
3127674,37,0,80
161174286,38,0,80
28053247,39,0,80
161174284,40,0,80
342888854,41,0,80
362379202,42,0,80
71678774,43,0,80
35858101,44,0,80
201878287,45,0,80
49306639,46,0,80
358615829,47,0,80
35845292,48,0,80
355147124,49,0,80
166174962,50,0,80
328401671,51,0,80
352617553,52,0,80
131799991,53,0,80
259901346,54,0,80
401834404,55,0,80
351808240,56,0,80
232970271,57,0,80
412650616,58,0,80
24108819,59,0,80
201792346,60,0,80
397098265,61,0,80
165945176,62,0,80
152851749,63,0,80
303301402,64,0,80
171648455,65,0,80
43213934,66,0,80
231733039,67,0,80
201688405,68,0,80
57031043,69,0,80
106504397,70,0,80
206402318,71,0,80
91924437,72,0,80
202378759,73,0,80
165993932,74,0,80
469392302,75,0,80
405981059,76,0,80
202280283,77,0,80
17970570,78,0,80
149415767,79,0,80
27117515,80,0,80
8527476,81,80,160
289575374,82,80,160
279293709,83,80,160
422351737,84,80,160
255932726,85,80,160
391099465,86,80,160
115656691,87,80,160
5597639,88,80,160
285129058,89,80,160
137025855,90,80,160
261396626,91,80,160
54144488,92,80,160
268860915,93,80,160
116244652,94,80,160
274626553,95,80,160
280801342,96,80,160
457464640,97,80,160
232607684,98,80,160
306114021,99,80,160
148359442,100,80,160
274845559,101,80,160
169747618,102,80,160
358237020,103,80,160
262465715,104,80,160
434261118,105,80,160
317180704,106,80,160
154070383,107,80,160
239154651,108,80,160
169228466,109,80,160
2835989,110,80,160
166006493,111,80,160
288314668,112,80,160
166650364,113,80,160
154998483,114,80,160
328463799,115,80,160
397635513,116,80,160
30947458,117,80,160
360020321,118,80,160
273647353,119,80,160
238950307,120,80,160
137649696,121,80,160
236770208,122,80,160
445018193,123,80,160
214972970,124,80,160
38141631,125,80,160
425717549,126,80,160
180672231,127,80,160
288452865,128,80,160
362063292,129,80,160
135140399,130,80,160
25605269,131,80,160
388087903,132,80,160
165830128,133,80,160
234526939,134,80,160
207339173,135,80,160
406517901,136,80,160
9378238,137,80,160
400891204,138,80,160
