tic,seed_iteration,period_days,epoch_btjd,duration_days,depth,radius_earth_estimate,irradiation_earth_estimate,nominal_training_snr,holdout_nominal_snr,holdout_events,flags,target_vetting_note
1630433,1,13.61529846616715,1571.8814855839407,0.2480617035783494,0.004209314761621051,0.9422603790393544,0.3152475507295806,8.314493930091766,0.7806314595722839,2,long_relative_to_circular_transit;not_recovered_in_sector_holdout,
1630433,2,4.138508185021178,1575.256410989258,0.08762467172131981,0.002568771343036466,0.7360849742693834,1.5425154331748037,7.842814681302785,1.155281229491377,10,outside_nominal_optimistic_hz;long_relative_to_circular_transit;not_recovered_in_sector_holdout;inconsistent_holdout_depth_signs,
2835989,1,23.089358247854943,1368.546550281936,0.24770199272320464,0.005424074784511482,1.085700881981229,0.1776926983426827,15.076870277792088,0.21433994800995898,1,fewer_than_three_training_events;dominated_by_one_event;outside_nominal_optimistic_hz;long_relative_to_circular_transit;insufficient_holdout_events,
2835989,2,19.24534126843647,1354.401104876904,0.24734713445886614,0.0012540050802850805,0.5220318541040246,0.22652592357817125,7.549793161975042,0.5684392135708833,2,long_relative_to_circular_transit;not_recovered_in_sector_holdout;inconsistent_holdout_depth_signs,
3127674,1,12.729739828001199,1528.855252506023,0.2474671145108776,0.0030686860835123834,0.7984794636812452,0.39429270147456524,27.999699535707013,1.1631783960144308,4,dominated_by_one_event;odd_even_discrepancy;long_relative_to_circular_transit;not_recovered_in_sector_holdout,
3127674,2,13.643399035026116,1529.5879824367303,0.18446695347650757,0.006058851277238523,1.12197366976417,0.35948546320134217,19.20404969958316,4.118849332971174,1,fewer_than_three_training_events;odd_even_discrepancy;long_relative_to_circular_transit;insufficient_holdout_events,
5597639,1,7.87482081349275,1547.4431082240535,0.24736105990300306,0.001045477705031065,0.46253251848560484,0.6585122437607795,7.901782672086631,-0.5226517522009299,3,outside_initial_small_planet_radius_range;long_relative_to_circular_transit;not_recovered_in_sector_holdout,
5597639,2,4.874268975889352,1546.6412648439705,0.06401763267102194,0.0012092106512838754,0.49743445712593976,1.248356921100813,6.165299922480647,-0.9281343180432683,5,outside_initial_small_planet_radius_range;long_relative_to_circular_transit;low_nominal_training_snr;not_recovered_in_sector_holdout;inconsistent_holdout_depth_signs,
7723060,1,13.582866151474184,1411.1778801147377,0.24808448957645846,0.001410726401655317,0.7792711278228247,0.7529827068670321,17.839940486390077,12.124894132900131,2,long_relative_to_circular_transit;inconsistent_holdout_depth_signs,
7723060,2,29.374063682167794,1422.1486509836925,0.24894865893963752,0.002046703543957731,0.9386304943061637,0.26924946823278384,17.230504278738625,0.8555213118822678,1,fewer_than_three_training_events;dominated_by_one_event;odd_even_discrepancy;long_relative_to_circular_transit;insufficient_holdout_events,
