tic,status,period_grid_searched,sectors,points,discovery_points,holdout_points,tmag,distance_pc,source_sha256
10149468,screened,True,2,5860,3337,2523,13.52,27.93,6e4792c74bd68526d590a46964935abacba696a4a17f580aa7dcdd0265c0b8d4
101717144,screened,True,4,10618,5668,4950,13.08,28.09,92d0cf2f04c96b68a2646f13a29b9e077489e66a504527895ddbfedc7455ebb2
102678706,screened,True,5,16131,6837,9294,13.52,34.46,ed889e845cb6d9e665c050f228ad189c70001632811620664c9d619ad8660545
102903258,screened,True,6,19366,3866,15500,11.99,25.63,b7189dc0714211ccede19822a0ac6d5b151559fb5b44560ed05aefe12da9431f
103199821,screened,True,5,16360,6695,9665,13.1,31.41,0b23c4e5f62edd34760e13439b27265a4181acee67151128aef4123cef489791
103245015,screened,True,4,12823,6549,6274,12.71,11.65,e8007a410b6f6ea278087f7be593d92bf66cf72d4a5213d021b9ec5e14bc2739
103298945,screened,True,5,15630,6276,9354,12.43,30.11,e9bfc460012f2d3bacc7f4f8f61c7984c12174ceb7af724b31da4006a2c58f78
103581155,screened,True,8,26235,7472,18763,11.49,16.06,2052de6cdbb22fbc374cd0f048f665a94190dec5e24f2d601319f2fe036279f6
103632048,screened,True,7,23960,7472,16488,11.7,17.17,3248c9a544dcb954711ba079b9ee3208aa514673c826003e6b28058c4ca5501a
105513234,screened,True,2,6683,3716,2967,13.65,29.76,db28aec6b2ca599aca5308b69b06dd51d74647e914e5d1c7c269d3dc50d22295
105577069,screened,True,2,6597,3703,2894,12.85,21.2,f527dd239ae1fcf3182da908db9cd4b085c2213f3da40c1a9d4e6675463b464a
106504397,screened,True,3,10131,3668,6463,12.76,16.91,972416c159a626a3f9d5f2ca270d29b2308231411578cd11dc7f346fc9ad33d5
113425376,screened,True,3,8893,3187,5706,13.95,28.58,b292e6ed4cf78ca7a8e5bafe7f3f7bbe4a927c14751d61d9e0dfb214a9c670f3
114504403,screened,True,2,5650,3140,2510,13.99,27.62,2475ebeb21627547fcac7ffd590f1fdcb4ba984ea9c88a5b4a4364f0fd6749d7
115172395,screened,True,5,14805,7763,7042,12.55,25.04,03bb21bbe641a1b25acd96418f17ee2e36f963e2af40c02e516bfb831abc48bb
115287939,screened,True,4,12514,7073,5441,12.48,29.62,96763aad10878f0a34d5f7a54ef57358d44bb54c2b8fff06280870d6f9bde305
115656691,screened,True,2,6057,3540,2517,13.77,20.96,fcac7036662486a429c9b177df5f830098cecceda6d70317cba96e9c5ea4d4dc
116244652,screened,True,5,17351,6826,10525,12.54,14.76,4976709d5c8c18b8a124dc979631e230f1027e8f0f9ba0079b5e9f16b8c08ef2
116281239,screened,True,4,9472,3040,6432,13.31,38.96,f72386652ed5be7c69e4247833fe619d8d036574323ee55bf53ce41ec166bfe4
116306164,screened,True,3,8523,3108,5415,13.28,34.95,ef5f74314a44c8b0eebfcc0febbafb11b707d5d241756ee2b7ebddebf7ad6fbc
117123283,screened,True,5,16059,12608,3451,13.96,31.31,8f1b14015f8be33dc88c58a78cc57cb8c61c20f3291380d631614d1e61f7b6d0
117489874,screened,True,2,6743,3870,2873,13.82,28.36,118b72b491355712ad827fc8c22275e48bfaa2b3d6b08744dd687a8a7b17e463
117817258,screened,True,3,8671,6065,2606,13.12,27.99,abb8213846cf2cc89ab35459add896259811502966fcb45caaa7d003d9589b4b
118539745,screened,True,3,8620,8620,0,13.85,40.69,bd6a8c02de9fb86d0944aec9fbbffe4351c840929cb2d86f27365e7780707579
11914170,screened,True,4,12552,5227,7325,13.38,30.28,d2898e2aa12658fd333c474c607e169e49af2aca88e635decd3243b36b52147b
120609299,screened,True,4,12772,3665,9107,13.34,24.44,498077b3bb75082b3b371cb93078adff5e7b43b7138dd08e6e16d602a5898514
121305264,screened,True,3,9337,3590,5747,13.33,22.41,be336a157f8004431c291d909629662281d6d2bafba70444c7dd857d74a77b03
121593546,screened,True,2,6854,3449,3405,13.95,30.99,788f9b40904c738dccdaf74a18a5991608ded1b182be129080950dcdfcdf3298
122136861,screened,True,5,18362,7464,10898,13.24,20.94,7dc0297672d09a0999aed04723b9c065abd98a2d6f6fccd203d1ec0181c1fcda
122669742,screened,True,6,20602,6283,14319,13.52,31.21,1d8c460077ddcd7f0c2fa0d93b7e9e9dc544e8f5f74a425c27ea760c7c03611b
122832965,screened,True,5,14360,8335,6025,13.19,27.6,4c4e8efd61869768678237dc6ad90be03b48e67bb22cd424b7f0f37fcb3fa768
123013596,screened,True,9,28071,8387,19684,10.49,15.55,a07826cdc856aef32f1ea223712c57e25782033e2245d83815d3a1711c6f4450
123096698,screened,True,2,6818,3432,3386,13.91,37.48,1a56af9aa7d7631f1c6f0ab03efa7e6f69c94f7efb79fa9a1af5919b21c9157e
123480394,screened,True,6,17754,5777,11977,10.58,7.99,979f71c6056c216e6e56d6ede2fb1b19b6053af0077e30ab8cc324aaa1313622
126319133,screened,True,4,12732,9286,3446,13.46,24.41,2023c35616331dcf3e448ca1481f60a1e2b60d6490bee63d5425d767c1b47e81
